Model,DataSet,MAE,MSE,RMSE,R2 Square,Cross Validation
BIRCH,blob Cluster (4),1.004,1.514,1.230447073221762,-0.21120000000000005,
"Gaussian
Mixture",blob Cluster (4),1.002,1.006,1.0029955134495867,0.19520000000000004,
kmeans Elkan,blob Cluster (5),0.028666666666666667,0.09733333333333333,0.3119829055146024,0.9513333333333334,
kmeans Lloyd,blob Cluster (5),2.391,6.769666666666667,2.6018583102595474,-2.3848333333333334,
kmeans Manhatten,blob Cluster (5),0.838,1.338,1.1567194992737004,0.33099999999999996,
"MiniBatch
KMeans",blob Cluster (5),2.38,6.33,2.515949125081825,-2.165,
"Affinity
Propagation",blob Cluster (5),2.388333333333333,6.353666666666666,2.5206480648171943,-2.176833333333333,
"Spectral
Clustering",blob Cluster (5),0.41933333333333334,0.458,0.6767569726275452,0.771,
"Agglomerative
Clustering",blob Cluster (5),2.1963333333333335,6.170333333333334,2.484015566242155,-2.085166666666667,
DBSCAN,blob Cluster (5),2.0003333333333333,6.001666666666667,2.449829926069699,-2.0008333333333335,
OPTICS,blob Cluster (5),2.0,6.0,2.449489742783178,-2.0,
BIRCH,blob Cluster (5),1.2136666666666667,2.845666666666667,1.6869103908230179,-0.4228333333333334,
"Gaussian
Mixture",blob Cluster (5),2.001333333333333,5.214666666666667,2.283564465187411,-1.6073333333333335,
kmeans Elkan,Varied Cluster (3),0.65,0.65,0.806225774829855,0.025485795331027572,
kmeans Lloyd,Varied Cluster (3),0.667,0.667,0.8167006795638168,-1.4992526224943958e-06,
kmeans Manhatten,Varied Cluster (3),0.667,0.667,0.8167006795638168,-1.4992526224943958e-06,
"MiniBatch
KMeans",Varied Cluster (3),0.65,0.65,0.806225774829855,0.025485795331027572,
"Affinity
Propagation",Varied Cluster (3),1.333,1.999,1.413859964777276,-1.9970059925127321,
"Spectral
Clustering",Varied Cluster (3),0.667,0.667,0.8167006795638168,-1.4992526224943958e-06,
"Agglomerative
Clustering",Varied Cluster (3),1.333,1.999,1.413859964777276,-1.9970059925127321,
DBSCAN,Varied Cluster (3),1.35,2.05,1.4317821063276353,-2.0734678762636825,
OPTICS,Varied Cluster (3),1.504,3.216,1.7933209417167917,-3.821596434177562,
BIRCH,Varied Cluster (3),0.667,0.667,0.8167006795638168,-1.4992526224943958e-06,
"Gaussian
Mixture",Varied Cluster (3),1.333,1.999,1.413859964777276,-1.9970059925127321,
kmeans Elkan,No Structure,1.4893333333333334,3.468,1.8622566955175648,0.0,
kmeans Lloyd,No Structure,1.5,3.521333333333333,1.8765216048138995,0.0,
kmeans Manhatten,No Structure,1.1153333333333333,2.386,1.5446682491719703,0.0,
"MiniBatch
KMeans",No Structure,1.436,3.4106666666666667,1.8467990325605725,0.0,
"Affinity
Propagation",No Structure,3.436,17.14666666666667,4.14085337420521,0.0,
"Spectral
Clustering",No Structure,1.526,3.4886666666666666,1.867797276651475,0.0,
"Agglomerative
Clustering",No Structure,0.005333333333333333,0.012,0.10954451150103323,0.0,
DBSCAN,No Structure,1.0,1.0,1.0,0.0,
OPTICS,No Structure,0.0,0.0,0.0,1.0,
BIRCH,No Structure,1.306,2.8473333333333333,1.687404318275064,0.0,
"Gaussian
Mixture",No Structure,1.442,3.3073333333333332,1.818607525920129,0.0,
euclidean,circles,0.822,1.142,1.0686440005914037,-3.5679999999999996,
squared euclidean,circles,0.82,1.14,1.0677078252031311,-3.5599999999999996,
manhattan,circles,0.84,1.188,1.089954127475097,-3.752,
chebyshev,circles,0.862,1.186,1.0890362712049586,-3.7439999999999998,
canberra,circles,0.814,1.166,1.079814798935447,-3.6639999999999997,
chi-square,circles,0.866,1.23,1.1090536506409416,-3.92,
euclidean,moons,0.488,0.824,0.9077444574328174,-2.296,
squared euclidean,moons,0.462,0.77,0.8774964387392122,-2.08,
